"State","Latitude","Longitude","District","Land Area(km2)","Total Population","Population Density (per km2)","Citizens","Non-citizens","Male Population","Female Population","Bumiputera %","Bumiputera Citizens","Chinese % ","Chinese Citizens","Indian %","Indian Citizens","Other Race %","Other Race Citizens","% of citizen age 0-14","No. of citizen age 0-14","% of citizen age 15-64","No. of citizen age 15-64","% of citizen age 65 above","No. of citizen age 65 above","% of citizen age 18 above","No. of citizen age 18 above","Total Dependency Ratio","Young Dependency","Old Dependency","Sex Ratio","Living Quarters","Households","Average Household Size","No. of male live births","No. of female live births","No. of male deaths","No. of female deaths","% of owned housing (2019)","No. of owned housing (2019)","% of rented housing (2019)","No. of rented housing (2019)","% of quarter housing (2019)","No. of quarter housing (2019)","Labour Force Employment (,000)","No. of Labour Force","Employed (,000)","No. of citizen in employment","Unemployed (,000)","No. of citizen in unemployment","Outside Labour Force (.000)","No. of Outside Labour Force","Labour Force Participation Rate","Unemployment Rate","Median Monthly Household Gross Income (2019)","Mean Monthly Household Gross income (2019)","Mean Monthly Households Consumption Expenditure (2019)","Gini Coefficient (2019)","% of Incidence Of Poverty (2019)","Total No. of citizen with extreme poor status","Total No. of citizen with poor status","No. of male citizen with extreme poor status","No. of female citizen with extreme poor status","No. of male citizen with poor status","No. of female citizen with poor status","No. of malay citizen with extreme poor status","No. of chinese citizen with extreme poor status","No. of indian citizen with extreme poor status","No. of other citizen with extreme poor status","No. of malay citizen with poor status","No. of chinese citizen with poor status","No. of indian citizen with poor status","No. of other citizen with poor status","No. of Islam with extreme poor status","No. of Christian with extreme poor status","No. of Buddhist with extreme poor status","No. of Hindu with extreme poor status","No. of others with extreme poor status","No. of Islam with poor status","No. of Christian with poor status","No. of Buddhist with poor status","No. of Hindu with poor status","No. of others with poor status","No. of citizen age 0-14 with extreme poor status","No. of citizen age 15-30 with extreme poor status","No. of citizen age 31-59 with extreme poor status","No. of citizen age 60 above with extreme poor status","No. of citizen age 0-14 with poor status","No. of citizen age 15-30 with poor status","No. of citizen age 31-59 with poor status","No. of citizen age 60 above with poor status"
"Kedah","5.3894","100.5634","Kulim - Bandar Bahang","690","120210","174","115626","4584","61412","58798","73.8","88715","14.4","17310","11.5","13824","0.2","240","24.7","29692","67.5","81142","7.8","9376","69.7","83786","48.2","36.6","11.6","104","33552","29588","4","967","919","426","337","81.5","97971","16.3","19594","2.2","2645","56.2","56200","54.3","54300","2","2000","29.4","29400","65.7","3.5","4558","5671","3209","0.35","9.8","44","151","27","17","101","50","41","0","2","1","136","6","9","0","42","0","0","2","0","136","0","6","9","0","0","0","29","15","0","1","95","55"
"Johor","2.5035","102.8208","Segamat","941","76011","81","71225","4786","39404","36607","58","44086","33.1","25160","8.6","6537","0.3","228","18.7","14214","71.4","54272","9.8","7449","76.7","58300","40","26.2","13.8","108","23470","19829","3.6","611","524","253","160","83.1","63165","11.1","8437","5.8","4409","37.8","37800","36.3","36300","1.4","1400","15.5","15500","70.9","3.8","5645","6587","4151","0.319","2.6","0","51","0","0","21","30","0","0","0","0","36","5","10","0","0","0","0","0","0","36","1","5","9","0","0","0","0","0","0","1","27","23"
"Johor","2.5489","102.9283","Sekijang","550","79347","144","75894","3453","41099","38248","60.5","48005","34.9","27692","4.3","3412","0.3","238","22","17456","67.2","53321","10.8","8569","73.2","58082","48.8","32.7","16.1","107","25333","20658","3.7","624","548","259","169","87","69032","11.9","9442","1.1","873","36.8","36800","35.2","35200","1.5","1500","15.5","15500","70.3","4.1","5440","6390","4194","0.334","3.4","4","45","2","2","26","19","4","0","0","0","38","2","4","1","4","0","0","0","0","39","1","2","3","0","0","0","3","1","0","0","36","9"
"Johor","2.3823","103.0201","Labis","1374","42404","31","39002","3402","22697","19707","50","21202","33.4","14163","16.2","6869","0.4","170","19.5","8269","66.8","28326","13.7","5809","75.2","31888","49.8","29.2","20.5","115","16235","12368","3.4","320","301","133","93","88.4","37485","8.5","3604","3.1","1315","19.7","19700","18.8","18800","0.8","800","8.4","8400","70.1","4.3","5636","6259","4033","0.274","2.4","1","35","0","1","24","11","0","0","0","1","25","3","6","1","1","0","0","0","0","28","0","2","5","0","0","1","0","0","0","0","28","7"
"Johor","2.1492","102.7722","Pagoh","1258","95202","76","83657","11545","53338","41864","72.8","69307","23.9","22753","3.1","2951","0.3","286","18.8","17898","72.9","69402","8.3","7902","76.6","72925","37.2","25.8","11.4","127","26485","23231","3.8","648","677","269","208","85.2","81112","8.2","7807","6.5","6188","47.5","47500","46.6","46600","1","1000","23.5","23500","67","2.1","4785","5774","3698","0.31","6.9","0","26","0","0","18","8","0","0","0","0","25","1","0","0","0","0","0","0","0","25","0","1","0","0","0","0","0","0","0","0","20","6"
"Johor","2.3434","102.5987","Ledang","653","147579","226","141228","6351","76299","71280","65.7","96959","28.1","41470","5.7","8412","0.5","738","22.3","32910","68.6","101239","9.1","13430","71.1","104929","45.8","32.5","13.3","107","38901","34312","4.2","1096","946","454","290","84.2","124262","12","17709","3.8","5608","60.2","60200","58.4","58400","1.7","1700","33.1","33100","64.5","2.9","5710","6757","4248","0.323","3.2","0","59","0","0","33","26","0","0","0","0","44","8","6","1","0","0","0","0","0","44","0","8","6","1","0","0","0","0","0","2","28","29"
"Johor","2.0417","102.6577","Bakri","191","135179","708","118852","16327","75431","59748","50.3","67995","47.4","64075","2","2704","0.3","406","23.5","31767","70","94625","6.6","8922","71.1","96112","42.9","33.5","9.4","126","33589","27944","4.4","933","970","389","297","90.3","122067","7.6","10274","2","2704","60","60000","58.3","58300","1.7","1700","28.3","28300","68","2.8","6164","8007","5183","0.361","3.4","3","91","1","2","58","30","3","0","0","0","78","9","4","0","3","0","0","0","0","80","0","9","1","1","0","1","1","1","0","0","64","27"
"Johor","2.0631","102.5849","Muar","268","100265","374","92569","7696","53459","46806","69.6","69784","29.4","29478","0.9","902","0.2","201","25.1","25167","68.4","68581","6.5","6517","68.8","68982","46.3","36.8","9.5","114","24443","22294","4.2","697","652","289","200","90.3","90539","7.6","7620","2","2005","42.4","42400","41.4","41400","1","1000","20.8","20800","67.1","2.4","6361","7638","5359","0.338","4.2","2","98","0","2","56","42","2","0","0","0","96","1","0","1","2","0","0","0","0","98","0","0","0","0","0","0","2","0","0","2","64","32"
"Johor","1.9816","102.8784","Parit Sulong","468","82399","176","79248","3151","43007","39392","89.1","73418","10.4","8569","0.2","165","0.3","247","21.5","17716","69.3","57103","9.2","7581","72.3","59574","44.2","31","13.2","109","21271","18883","4.2","606","539","252","166","85.5","70451","8.7","7169","5.8","4779","36.8","36800","35.8","35800","1","1000","16.1","16100","69.6","2.7","5738","6961","4485","0.29","5.2","5","166","4","1","123","43","5","0","0","0","161","0","1","4","5","0","0","0","0","165","0","0","1","0","0","0","3","2","0","0","120","46"
"Johor","1.9183","103.18","Ayer Hitam","747","71785","96","69117","2668","37836","33949","64.9","46588","31.6","22684","3.2","2297","0.3","215","22.1","15864","69.5","49891","8.4","6030","71.6","51398","43.8","31.7","12.1","111","21704","17922","4","540","492","224","151","85.5","61376","8.7","6245","5.8","4164","32.5","32500","31.7","31700","0.8","800","14","14000","69.8","2.5","6094","6453","4123","0.244","2.7","7","84","2","5","49","35","6","1","0","0","74","1","8","1","6","0","1","0","0","74","0","2","8","0","0","0","4","3","0","1","49","34"
