"State","Latitude","Longitude","District","Land Area(km2)","Total Population","Population Density (per km2)","Citizens","Non-citizens","Male Population","Female Population","Bumiputera %","Bumiputera Citizens","Chinese % ","Chinese Citizens","Indian %","Indian Citizens","Other Race %","Other Race Citizens","% of citizen age 0-14","No. of citizen age 0-14","% of citizen age 15-64","No. of citizen age 15-64","% of citizen age 65 above","No. of citizen age 65 above","% of citizen age 18 above","No. of citizen age 18 above","Total Dependency Ratio","Young Dependency","Old Dependency","Sex Ratio","Living Quarters","Households","Average Household Size","No. of male live births","No. of female live births","No. of male deaths","No. of female deaths","% of owned housing (2019)","No. of owned housing (2019)","% of rented housing (2019)","No. of rented housing (2019)","% of quarter housing (2019)","No. of quarter housing (2019)","Labour Force Employment (,000)","No. of Labour Force","Employed (,000)","No. of citizen in employment","Unemployed (,000)","No. of citizen in unemployment","Outside Labour Force (.000)","No. of Outside Labour Force","Labour Force Participation Rate","Unemployment Rate","Median Monthly Household Gross Income (2019)","Mean Monthly Household Gross income (2019)","Mean Monthly Households Consumption Expenditure (2019)","Gini Coefficient (2019)","% of Incidence Of Poverty (2019)","Total No. of citizen with extreme poor status","Total No. of citizen with poor status","No. of male citizen with extreme poor status","No. of female citizen with extreme poor status","No. of male citizen with poor status","No. of female citizen with poor status","No. of malay citizen with extreme poor status","No. of chinese citizen with extreme poor status","No. of indian citizen with extreme poor status","No. of other citizen with extreme poor status","No. of malay citizen with poor status","No. of chinese citizen with poor status","No. of indian citizen with poor status","No. of other citizen with poor status","No. of Islam with extreme poor status","No. of Christian with extreme poor status","No. of Buddhist with extreme poor status","No. of Hindu with extreme poor status","No. of others with extreme poor status","No. of Islam with poor status","No. of Christian with poor status","No. of Buddhist with poor status","No. of Hindu with poor status","No. of others with poor status","No. of citizen age 0-14 with extreme poor status","No. of citizen age 15-30 with extreme poor status","No. of citizen age 31-59 with extreme poor status","No. of citizen age 60 above with extreme poor status","No. of citizen age 0-14 with poor status","No. of citizen age 15-30 with poor status","No. of citizen age 31-59 with poor status","No. of citizen age 60 above with poor status"
"Perlis","6.662622","100.321665","Padang Besar","450","86798","193","84074","2724","44487","42311","89.8","77945","5.6","4861","1.6","1389","2.9","2517","21.7","18835","70","60759","8.3","7204","69.3","60151","42.9","31.1","11.9","105","23026","23387","3.5","598","611","305","270","86.8","75341","7","6076","6.2","5381","31.5","31500","30.2","30200","1.3","1300","18.5","18500","62.9","4.1","4075","4747","3154","0.31","5.7","0","967","0","0","664","303","0","0","0","0","926","11","4","26","0","0","0","0","0","938","0","26","3","0","0","0","0","0","1","29","662","275"
"Perlis","6.429708","100.269844","Arau","222","97332","438","95902","1430","47983","49349","89.4","87015","6.6","6424","2.3","2239","1.7","1655","17.9","17422","75","72999","7.1","6911","74.8","72804","33.4","23.9","9.5","97","21467","29467","3.6","773","662","374","290","85.1","82830","9.4","9149","5.5","5353","39.3","39300","37.4","37400","1.8","1800","22.8","22800","63.3","4.7","4594","5411","3381","0.31","1.4","0","1275","0","0","863","412","0","0","0","0","1220","12","9","34","0","0","0","0","0","1226","0","41","8","0","0","0","0","0","0","30","879","366"
"Perlis","6.443589","100.216599","Kangar","141","100755","715","98479","2276","49875","50880","87.3","87959","9.6","9672","1.5","1511","1.6","1612","21.8","21965","70","70529","8.2","8262","70","70529","42.8","31.2","11.7","98","28611","27996","3.5","773","721","394","317","82.5","83123","13.8","13904","3.7","3728","39.6","39600","38","38000","1.6","1600","23.4","23400","62.8","4","4889","5899","3694","0.35","4.2","0","1498","0","0","1005","493","0","0","0","0","1430","39","23","6","0","0","0","0","0","1440","0","38","18","2","0","0","0","0","2","40","971","485"
"W.P. Putrajaya","2.93649","101.69153","W.P. Putrajaya","49","109202","2229","106381","2821","53574","55628","97.9","106909","0.6","655","1.2","1310","0.2","218","38","41497","60.6","66176","1.4","1529","58.4","63774","64.9","62.6","2.3","96","38056","29699","3.7","1073","1069","118","92","15.1","16490","7.5","8190","77.4","84522","36.7","36700","36.2","36200","0.6","600","13.9","13900","72.5","1.5","9983","12840","7980","0.361","0.4","0","4","0","0","2","2","0","0","0","0","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","4","0"
"W.P. Labuan","5.285153","115.247787","W.P. Labuan","96","95120","991","84288","10832","48890","46230","86.2","81993","11.7","11129","1.1","1046","1","951","27.3","25968","68.5","65157","4.2","3995","67.8","64491","46.1","40","6.1","106","22879","23961","3.9","847","863","179","135","60.3","57357","33.4","31770","6.3","5993","46.1","46100","42.8","42800","3.3","3300","25.3","25300","64.6","7.2","6726","8319","4097","0.333","3.1","196","491","126","70","345","146","10","12","0","174","21","19","2","449","182","7","7","0","0","462","18","11","0","0","1","4","110","81","0","8","312","171"
"W.P. KualaLumpur","3.2025","101.637222","Kepong","12","106199","8850","88170","18029","62487","43712","20.2","21452","72.9","77419","6.3","6691","0.6","637","15.7","16673","77.1","81879","7.2","7646","80.7","85703","29.8","20.4","9.4","143","31667","28268","3.3","572","542","227","173","74.2","78800","25.8","27399","0","0","43.3","43300","41.3","41300","2","2000","16.4","16400","72.5","4.7","11274","13087","6500","0.303","0","55","133","20","35","70","63","27","9","17","2","52","39","30","12","32","3","8","11","1","69","4","34","25","1","0","2","25","28","1","1","81","50"
"W.P. KualaLumpur","3.2041","101.6729","Batu","20","219132","10957","172546","46586","131753","87379","56.6","124029","30.1","65959","12.9","28268","0.4","877","15.8","34623","78.5","172019","5.7","12491","80.6","176620","27.3","20.1","7.2","151","66080","61054","3","1126","1066","449","340","58.1","127316","41.5","90940","0.4","877","88.5","88500","84.2","84200","4.3","4300","34.9","34900","71.7","4.8","9426","11019","5817","0.305","0.3","173","291","74","99","150","141","106","8","54","5","176","20","83","12","124","2","7","40","0","202","4","18","63","4","0","2","95","76","0","10","170","111"
"W.P. KualaLumpur","3.204743","101.736145","Wangsa Maju","16","215600","13475","195262","20338","115803","99797","61.7","133025","30.6","65974","7","15092","0.8","1725","23","49588","71.3","153723","5.7","12289","72","155232","40.2","32.2","8","116","62008","56346","3.6","1312","1195","523","381","60.5","130438","39.5","85162","0","0","94.6","94600","91.4","91400","3.2","3200","37.7","37700","71.5","3.4","9716","11153","5768","0.289","0","81","163","37","44","88","75","59","6","15","1","111","17","33","2","66","3","4","7","1","121","0","17","25","0","0","0","33","48","0","2","82","79"
"W.P. KualaLumpur","3.186944","101.650558","Segambut","51","253715","4975","218026","35689","132196","121519","32.4","82204","55.8","141573","10.7","27148","1.2","3045","19.2","48713","73.8","187242","7.1","18014","76.3","193585","35.6","26","9.6","109","90043","75498","3.3","1590","1427","633","455","76.1","193077","21.9","55564","2","5074","124.5","124500","118.9","118900","5.6","5600","46.3","46300","72.9","4.5","15342","20521","9845","0.396","0","16","27","6","10","20","7","10","0","3","3","16","7","4","0","13","1","0","2","0","16","4","6","1","0","0","1","7","8","0","3","13","11"
"W.P. KualaLumpur","3.183","101.7462","Setiawangsa","16","147095","9193","140563","6532","76341","70754","69.7","102525","21.4","31478","8.5","12503","0.4","588","25.2","37068","69.9","102819","4.9","7208","70","102967","43","36","7","108","45093","46697","3.1","957","850","381","271","62.2","91493","24.9","36627","12.9","18975","74.5","74500","71.1","71100","3.4","3400","29","29000","72","4.6","9651","12281","6534","0.33","0.3","123","212","42","81","107","105","83","6","30","4","127","12","68","5","95","3","4","20","1","141","10","9","49","3","0","0","68","55","0","3","127","82"
"W.P. KualaLumpur","3.1774","101.7077","Titiwangsa","15","122096","8140","106806","15290","63360","58736","67.7","82659","23.3","28448","7.6","9279","1.4","1709","25","30524","69.6","84979","5.4","6593","70.7","86322","43.8","36","7.8","108","44206","36063","3.3","774","703","308","224","48.4","59094","40.6","49571","11","13431","56.8","56800","54.8","54800","2","2000","21","21000","73","3.6","9827","11921","6823","0.335","0.5","57","135","19","38","71","64","49","3","4","1","106","4","19","6","50","0","3","4","0","113","1","5","16","0","0","2","18","27","0","2","68","65"
"W.P. KualaLumpur","3.146708","101.711197","Bukit Bintang","21","120529","5739","94913","25616","68072","52457","27.1","32663","56.5","68099","15.5","18682","1","1205","19.7","23744","74.8","90156","5.5","6629","76.3","91964","33.7","26.3","7.4","130","44272","34763","3.2","681","691","271","220","62.8","75692","37.2","44837","0","0","55","55000","53.4","53400","1.7","1700","20.8","20800","72.6","3","11060","13677","7401","0.363","0","11","25","5","6","14","11","5","6","0","0","8","8","8","1","6","2","3","0","0","10","1","6","7","1","0","0","3","8","0","0","11","14"
"W.P. KualaLumpur","3.1076","101.6659","Lembah Pantai","20","148094","7405","138041","10053","75335","72759","59.1","87524","26.2","38801","13.8","20437","0.9","1333","22.9","33914","71.6","106035","5.5","8145","71.9","106480","39.6","31.9","7.7","104","47085","46785","3.4","907","825","361","263","52.2","77305","42.1","62348","5.7","8441","68.2","68200","65.9","65900","2.3","2300","25.5","25500","72.8","3.3","9801","13081","6186","0.376","0","179","282","83","96","148","134","119","9","47","4","166","22","86","8","129","4","8","36","2","177","6","21","78","0","0","1","81","97","0","4","176","102"
"W.P. KualaLumpur","3.11667","101.68333","Seputeh","31","322511","10404","310277","12234","164548","157963","31.1","100301","57.3","184799","11.2","36121","0.4","1290","17.4","56117","74.4","239948","8.2","26446","76.2","245753","34.4","23.4","11","104","97871","90322","3.5","2061","1845","821","588","68.8","221888","31.2","100623","0","0","150.5","150500","145.3","145300","5.2","5200","60.7","60700","71.3","3.5","11113","13489","7764","0.329","0.5","78","109","33","45","58","51","45","9","22","2","52","15","38","4","53","3","8","14","0","61","7","11","28","2","0","1","50","27","0","0","76","33"
"W.P. KualaLumpur","3.1072","101.7165","Cheras","16","135823","8489","123916","11907","71634","64189","32.2","43735","59.6","80951","7.6","10323","0.7","951","18","24448","73.1","99287","8.9","12088","77.6","105399","36.9","24.6","12.2","112","47148","39716","3.4","843","799","336","255","63.7","86519","35.2","47810","1.1","1494","64.5","64500","62.1","62100","2.4","2400","24.3","24300","72.6","3.7","10264","12031","5979","0.319","0.2","78","157","23","55","87","70","44","11","22","1","82","29","43","3","51","1","10","16","0","93","9","23","30","2","0","0","33","45","0","0","92","65"
"W.P. KualaLumpur","3.092","101.7211","Bandar Tun Razak","25","191318","7653","185146","6172","97377","93941","67.9","129905","23.4","44768","8.3","15879","0.4","765","21.2","40559","72.1","137940","6.7","12818","74.2","141958","38.8","29.4","9.3","104","59166","58017","3.3","1230","1091","490","348","59.6","114026","37.2","71170","3.2","6122","90.2","90200","86.2","86200","4","4000","35.1","35100","72","4.4","9432","11266","6002","0.305","0","147","277","54","93","143","134","112","10","21","4","195","22","52","8","122","2","8","14","1","215","3","16","39","4","0","1","70","76","0","3","177","97"
"Sarawak","1.6806","109.8535","Mas Gading","1481","51434","35","48849","2585","27193","24241","85.2","43822","14.4","7406","0.2","103","0.3","154","21","10801","69.9","35952","9.1","4680","73.5","37804","43","30.1","13","112","15913","11991","4.3","389","377","174","130","93.4","48039","0.4","206","6.2","3189","28.1","28100","27.2","27200","0.9","900","14","14000","66.7","3.3","3843","4857","2940","0.342","9.5","448","1717","310","138","1177","540","25","44","0","379","113","116","3","1485","41","350","33","0","24","191","1334","83","1","108","1","14","290","143","0","28","1058","631"
"Sarawak","1.7333","110.3333","Santubong","1501","117751","78","115123","2628","59689","58062","90.9","107036","8.9","10480","0.1","118","0.1","118","24.6","28967","69.6","81955","5.8","6830","69.9","82308","43.6","35.3","8.3","103","33334","26883","4.4","912","803","406","278","87.4","102914","8.4","9891","4.2","4946","60.4","60400","57.6","57600","2.7","2700","32.9","32900","64.7","4.5","4801","5784","3378","0.345","11.7","744","2195","541","203","1665","530","607","25","0","112","1720","110","0","365","647","69","15","0","13","1822","251","76","0","46","1","15","519","209","0","43","1434","718"
"Sarawak","1.5968","110.3333","PetraJaya","126","150813","1197","149617","1196","75216","75597","86.9","131056","12.5","18852","0.4","603","0.2","302","22.9","34536","70.6","106474","6.6","9954","71.4","107680","41.7","32.4","9.3","99","42218","34133","4.4","1184","1017","528","352","85.5","128945","12.4","18701","2.1","3167","78.6","78600","75.1","75100","3.6","3600","42.7","42700","64.8","4.5","6336","7665","4260","0.363","6.1","298","750","206","92","510","240","216","15","0","67","561","39","3","147","238","46","11","0","3","601","117","26","1","5","0","9","212","77","0","10","527","213"
"Sarawak","1.5535","110.3593","Bandar Kuching","35","116280","3322","113020","3260","58483","57797","34.6","40233","64.5","75001","0.5","581","0.4","465","19","22093","69","80233","12.1","14070","77","89536","45","27.5","17.5","101","35812","30221","3.9","897","783","400","271","81.8","95117","16","18605","2.2","2558","57.9","57900","55.2","55200","2.7","2700","31.8","31800","64.6","4.7","5473","7712","4457","0.418","4.3","75","191","48","27","129","62","42","10","0","23","103","33","0","55","47","22","5","0","1","110","54","25","0","2","0","1","54","20","0","3","134","54"
"Sarawak","1.5180573","110.3493096","Stampin","194","212217","1094","208809","3408","107718","104499","41.7","88494","57.4","121813","0.6","1273","0.3","637","20.6","43717","70.9","150462","8.4","17826","74.1","157253","41","29.1","11.9","103","66734","50187","4.2","1635","1453","730","502","85","180384","11.1","23556","3.9","8276","109.9","109900","104.4","104400","5.5","5500","60","60000","64.7","5","6089","7765","4465","0.364","3","211","526","146","65","383","143","76","31","2","102","231","77","3","215","89","92","24","1","5","254","208","57","2","5","0","3","161","47","0","7","364","155"
"Sarawak","1.456304","110.445714","Kota Samarahan","745","158521","213","157010","1511","77491","81030","85.3","135218","14","22193","0.5","793","0.2","317","22.9","36301","72.1","114294","4.9","7768","72.1","114294","38.7","31.8","6.9","96","49252","43953","3.8","1217","1024","543","354","84.1","133316","7.5","11889","8.4","13316","81.1","81100","77.2","77200","3.8","3800","44.4","44400","64.6","4.7","5281","6406","3723","0.343","7.7","823","2022","612","211","1508","514","629","20","1","173","1576","35","1","410","662","139","13","0","9","1639","337","23","0","23","0","27","542","254","0","37","1310","675"
"Sarawak","1.147378","110.233971","Puncak Borneo","1328","80780","61","79770","1010","42097","38683","81.7","65997","17.9","14460","0.2","162","0.2","162","22.6","18256","68.7","55496","8.8","7109","71.9","58081","45.6","32.8","12.8","109","26067","18499","4.3","615","584","275","202","90.6","73187","2.2","1777","7.2","5816","42.3","42300","40.2","40200","2.1","2100","23.2","23200","64.6","5","3780","4920","2960","0.348","11","544","1551","376","168","1097","454","29","41","0","474","99","149","0","1303","54","442","40","0","8","153","1254","107","0","37","0","14","326","204","0","24","963","564"
"Sarawak","1.167035","110.566506","Serian","1463","61744","42","60623","1121","31570","30174","93","57422","6.8","4199","0.1","62","0.1","62","21.3","13151","68.8","42480","10","6174","72.5","44764","45.4","30.9","14.5","105","18892","14711","4.2","464","423","207","146","92.5","57113","3.7","2285","3.8","2346","34.5","34500","32.8","32800","1.7","1700","18.9","18900","64.5","4.9","3274","4558","2643","0.387","20.8","696","1447","504","192","1076","371","34","25","0","637","76","42","1","1328","53","624","10","1","8","120","1276","22","0","29","0","26","399","271","0","31","766","650"
"Sarawak","1.1583","110.5706","Batang Sadong","1031","33694","33","31438","2256","17644","16050","96","32346","3.7","1247","0","0","0.3","101","23.2","7817","67.3","22676","9.5","3201","71","23923","48.6","34.5","14.1","110","9661","8308","4.1","251","237","111","81","93.5","31504","3.2","1078","3.3","1112","18.6","18600","17.8","17800","0.8","800","7.9","7900","70.1","4.4","2935","4089","2324","0.377","18.4","627","1915","481","146","1455","460","440","16","0","171","1231","32","0","652","459","137","13","0","18","1288","539","25","0","63","0","25","347","255","0","29","1038","848"
"Sarawak","1.427918","111.105654","Batang Lupar","1990","38339","19","37567","772","19659","18680","97.7","37457","2","767","0","0","0.3","115","26.8","10275","63.6","24384","9.6","3681","67.8","25994","57.3","42.2","15.1","105","10843","8829","4.4","298","270","133","93","95.8","36729","2.2","843","2","767","19.6","19600","18.9","18900","0.8","800","8.5","8500","69.9","4.1","2579","3316","2324","0.325","28.4","761","2414","533","228","1596","818","484","7","0","270","1695","22","0","697","505","223","3","0","30","1752","565","11","0","86","0","19","451","291","0","55","1427","932"
"Sarawak","1.237031","111.462079","Sri Aman","2678","62863","23","60892","1971","32804","30059","87.9","55257","11.8","7418","0","0","0.3","189","20.7","13013","67.7","42558","11.7","7355","74.8","47022","47.8","30.5","17.3","109","19636","14436","4.3","489","464","218","160","93.4","58714","3.6","2263","3","1886","35.6","35600","34","34000","1.6","1600","15.2","15200","70.1","4.5","3383","4496","2823","0.367","9.3","874","2058","586","288","1318","740","53","39","0","782","178","99","1","1780","89","725","18","0","42","225","1655","70","0","108","0","21","471","382","0","28","1035","995"
"Sarawak","1.043355","111.853596","Lubok Antu","3294","26780","8","26076","704","13632","13148","94.5","25307","5.3","1419","0","0","0.1","27","18.8","5035","67.5","18077","13.6","3642","76.3","20433","48.1","27.9","20.2","104","8985","7071","3.8","212","189","94","65","89.1","23861","0.6","161","10.3","2758","14.7","14700","14.1","14100","0.6","600","6.8","6800","68.2","4","2820","3809","2785","0.361","8.8","645","978","438","207","615","363","3","8","0","634","10","13","0","955","7","466","6","0","166","16","734","5","0","223","1","13","333","298","0","17","500","461"
"Sarawak","1.374943","111.578131","Betong","1398","34630","25","34259","371","18030","16600","96.1","33279","3.8","1316","0","0","0.1","35","21.5","7445","68.5","23722","10","3463","73.1","25315","46","31.4","14.6","109","11462","8311","4.2","266","250","119","86","96.9","33556","0.4","139","2.7","935","16.8","16800","16","16000","0.8","800","10.6","10600","61.3","5","2764","3996","2868","0.372","23","261","701","171","90","473","228","117","6","0","138","336","5","0","360","120","97","3","0","41","350","241","0","0","110","0","4","115","142","0","8","384","309"
"Sarawak","1.7362","111.352839","Saratok","1666","41339","25","40985","354","20566","20773","95.1","39313","4.8","1984","0","0","0.1","41","19.7","8144","70.4","29103","9.9","4093","75.4","31170","42","27.9","14","99","13048","9672","4.3","335","287","150","99","95.3","39396","3","1240","1.7","703","24.5","24500","23.4","23400","1.1","1100","11.7","11700","67.6","4.4","3004","3829","2747","0.345","17.6","930","2665","660","270","1929","736","426","24","0","480","1289","65","0","1311","452","356","20","0","102","1366","1063","36","0","200","0","14","533","383","0","79","1604","982"
"Sarawak","2.14508","111.33167","Tanjong Manis","2024","32768","16","30832","1936","16991","15777","93.5","30638","6.2","2032","0.1","33","0.3","98","23","7537","68.8","22544","8.2","2687","71.9","23560","45.3","33.5","11.8","108","12626","9122","3.6","251","232","112","80","84.7","27754","8.5","2785","6.8","2228","17.5","17500","16.7","16700","0.7","700","9","9000","65.9","4","2991","3803","2795","0.337","14.8","463","1462","319","144","1051","411","68","13","0","382","179","27","0","1256","280","76","4","0","103","909","264","7","0","282","1","20","272","170","0","34","902","526"
"Sarawak","2.821251","111.709245","Igan","2206","27388","12","24084","3304","14682","12706","97.3","26649","2.4","657","0","0","0.4","110","23.6","6464","68.4","18733","8","2191","71.2","19500","46.2","34.5","11.7","116","10226","8448","3.2","203","204","91","70","93.6","25635","1.5","411","4.9","1342","14.8","14800","13.9","13900","0.9","900","7.5","7500","66.3","5.9","2980","3968","2506","0.37","21.8","355","1609","231","124","1024","585","17","7","0","331","67","34","0","1508","255","69","1","0","30","1268","230","9","0","102","0","14","229","112","0","56","931","622"
"Sarawak","2.131703","111.523728","Sarikei","712","43119","61","42361","758","21696","21423","49.6","21387","50.1","21603","0","0","0.3","129","23.2","10004","67.6","29148","9.2","3967","71.1","30658","47.9","34.3","13.6","101","16303","11359","3.8","342","296","152","103","85.8","36996","7.5","3234","6.7","2889","22.6","22600","21.5","21500","1.1","1100","11.5","11500","66.3","5","3499","4725","3063","0.381","9.1","398","1184","253","145","858","326","34","28","0","336","58","96","0","1030","56","132","12","0","198","114","463","51","0","556","0","12","212","174","0","28","772","384"
"Sarawak","2.024275","111.916609","Julau","2858","35126","12","35046","80","17957","17169","94.3","33124","5.5","1932","0","0","0.2","70","22.6","7938","67.5","23710","9.9","3477","71.6","25150","48.1","33.5","14.6","105","11470","8342","4.2","272","247","122","85","94.9","33335","0","0","5.1","1791","19.8","19800","18.9","18900","0.9","900","7.7","7700","72","4.6","2625","3286","2524","0.343","18.1","515","1693","343","172","1182","511","0","10","0","505","3","13","0","1677","7","305","0","0","203","12","999","10","0","672","0","13","315","187","0","27","1044","622"
"Sarawak","2.101223","112.153298","Kanowit","2187","24700","11","24233","467","12349","12351","91","22477","8.8","2174","0","0","0.1","25","23.5","5805","65","16055","11.5","2841","70.5","17414","53.8","36.1","17.7","100","9744","6720","3.7","193","167","86","58","88.8","21934","5.4","1334","5.8","1433","12.6","12600","12","12000","0.6","600","5.7","5700","68.8","4.8","2670","3480","2497","0.387","21.9","432","1157","257","175","684","473","6","14","0","412","9","30","0","1118","15","259","8","0","150","22","741","13","0","381","0","12","159","261","0","14","513","630"
"Sarawak","2.278962","111.837726","Lanang","722","104930","145","102663","2267","52980","51950","55.7","58446","44","46169","0.1","105","0.2","210","21.9","22980","70","73451","8.1","8499","72.6","76179","42.8","31.3","11.6","102","35113","27123","3.9","801","707","359","244","76.8","80586","19.9","20881","3.3","3463","53.4","53400","50.6","50600","2.8","2800","28.3","28300","65.4","5.3","4468","5658","3528","0.354","10.8","211","652","134","77","370","282","23","15","0","173","38","29","0","585","49","117","7","1","37","125","388","11","0","128","0","4","127","80","0","12","402","238"
"Sarawak","2.287778","111.830833","Sibu","1399","141574","101","130707","10867","74033","67541","46.6","65973","53","75034","0.1","142","0.3","425","20.1","28456","71.8","101650","8.1","11467","75","106181","39.3","28","11.3","110","49188","38946","3.6","1040","951","463","329","86.3","122178","9.6","13591","4","5663","91.7","91700","89.1","89100","2.6","2600","19.1","19100","82.8","2.9","5099","6592","3741","0.37","4","195","716","107","88","426","290","21","13","0","161","98","24","0","594","52","100","6","0","37","224","376","6","0","110","0","7","123","65","0","9","422","285"
"Sarawak","2.895994","112.103745","Mukah","2985","60805","20","54006","6799","31614","29191","92","55941","7.8","4743","0.1","61","0.2","122","23","13985","69.3","42138","7.7","4682","72","43780","44.3","33.2","11.1","108","19214","16520","3.7","465","431","208","149","87.7","53326","3.5","2128","8.8","5351","33.6","33600","32.4","32400","1.1","1100","16.4","16400","67.2","3.4","3830","5210","2977","0.379","10.3","156","1080","101","55","689","391","1","4","0","151","13","47","0","1020","53","66","2","0","35","471","371","11","0","227","0","7","82","67","0","8","565","507"
"Sarawak","2.524326","112.324867","Selangau","9193","51335","6","46873","4462","27721","23614","95.9","49230","3.8","1951","0","0","0.3","154","23.1","11858","70.3","36089","6.7","3439","71.9","36910","42.3","32.8","9.5","117","16426","13481","3.8","375","378","167","131","83.4","42813","7.1","3645","9.5","4877","27.9","27900","26.7","26700","1.2","1200","13.7","13700","67.1","4.3","3445","4303","2696","0.349","11.1","591","1349","386","205","833","516","2","10","0","579","6","16","0","1327","17","329","6","0","239","38","778","7","0","526","0","8","295","288","0","28","650","671"
"Sarawak","1.995115","112.933085","Kapit","6331","43981","7","43826","155","21837","22144","93","40902","6.8","2991","0.1","44","0.1","44","26.3","11567","65.2","28676","8.5","3738","67.2","29555","53.4","40.4","13","99","15710","11178","3.9","348","297","154","103","82.7","36372","9.9","4354","7.4","3255","23.3","23300","21.9","21900","1.3","1300","11.4","11400","67.1","5.8","2976","4028","3178","0.356","4.7","700","917","398","302","524","393","3","6","0","691","8","13","0","896","8","399","3","0","290","19","598","5","0","295","0","2","271","427","0","12","442","463"
"Sarawak","2.151624","111.257094","Hulu Rajang","34080","43394","1","36901","6493","25333","18061","97.6","42353","1.8","781","0.1","43","0.5","217","20.4","8852","74.5","32329","5.1","2213","74.4","32285","34.2","27.4","6.8","140","17083","14077","3.2","276","328","128","114","80.9","35106","1.4","608","17.7","7681","27.3","27300","26","26000","1.2","1200","12.4","12400","68.8","4.5","3574","4320","2407","0.316","6.1","764","1441","509","255","926","515","2","3","0","759","3","6","0","1432","11","677","0","0","76","31","1293","4","0","113","0","37","481","246","0","60","822","559"
"Sarawak","3.194335","113.095322","Bintulu","8300","235099","28","199185","35914","129002","106097","82.1","193016","17.3","40672","0.1","235","0.4","940","22.8","53603","73.9","173738","3.3","7758","71.9","169036","35.3","30.8","4.4","122","66360","59697","3.9","1616","1689","721","584","79.6","187139","13.3","31268","7.1","16692","128.8","128800","124","124000","4.8","4800","63.6","63600","66.9","3.7","6368","7654","3653","0.34","2.4","679","1291","406","273","840","451","45","20","0","614","73","40","0","1178","160","354","9","0","156","388","616","8","0","279","0","23","365","291","0","20","701","570"
"Sarawak","4.0452","113.7999","Sibuti","1576","70984","45","64994","5990","37172","33812","86.7","61543","12.7","9015","0.1","71","0.4","284","21.7","15404","71.8","50967","6.5","4614","72.5","51463","39.3","30.3","9","110","22589","18138","4","516","491","230","170","85.3","60549","6.6","4685","8.1","5750","36.2","36200","34.9","34900","1.3","1300","20.3","20300","64","3.6","4704","5834","2729","0.335","7.9","498","663","308","190","407","256","107","18","0","373","129","21","1","512","285","178","7","0","28","344","263","9","1","46","0","15","293","190","0","14","405","244"
"Sarawak","4.3995","113.9914","Miri","771","206125","267","194508","11617","108479","97646","65","133981","34.4","70907","0.3","618","0.3","618","19.6","40401","74.1","152739","6.3","12986","75.2","155006","35","26.5","8.5","111","68212","51506","3.9","1493","1419","666","491","81.9","168816","11.8","24323","6.3","12986","106.8","106800","103.2","103200","3.6","3600","60.6","60600","63.8","3.3","6176","7602","4140","0.355","4","297","444","157","140","262","182","70","21","0","206","94","41","0","309","135","138","14","0","10","177","228","25","0","14","0","7","178","112","0","10","294","140"
"Sarawak","1.3645","111.5487","Baram","22075","63499","3","55494","8005","34008","29491","94.6","60070","4.9","3111","0.1","63","0.4","254","22.8","14478","70.2","44576","7","4445","69","43814","42.5","32.5","10","115","23190","16545","3.9","398","399","177","139","84.9","53911","5","3175","10.1","6413","36.1","36100","34.4","34400","1.7","1700","19.3","19300","65.2","4.8","3267","4394","2379","0.366","14.4","2455","1313","1781","674","872","441","22","19","0","2414","44","26","0","1243","49","2252","7","0","147","60","1144","19","0","90","0","70","1472","913","1","30","645","637"
"Sarawak","4.755","115.0081","Limbang","43856","1205","23191","43856","1205","23191","21870","88","1060","11.7","141","0.1","1","0.2","2","25.7","310","67.3","811","7","84","68.5","825","48.5","38.1","10.4","106","13849","11069","4.1","346","323","155","112","80.1","965","7","84","12.9","155","24.2","24200","22.8","22800","1.4","1400","11.3","11300","68.2","5.6","4628","5989","3394","0.382","11","511","702","320","191","458","244","126","11","0","374","206","21","0","475","201","287","4","0","19","323","342","9","0","28","0","17","323","171","0","21","448","233"
"Sarawak","4.8613","115.4068","Lawas","3889","36604","9","34790","1814","18724","17880","92.6","33895","6.9","2526","0.1","37","0.4","146","26.7","9773","65.7","24049","7.5","2745","67.5","24708","52.1","40.6","11.5","105","9902","8632","4.2","279","252","124","87","85","31113","6.3","2306","8.8","3221","20.7","20700","19.5","19500","1.1","1100","7.2","7200","74.3","5.5","4006","5222","3299","0.382","14.6","576","562","447","129","424","138","230","17","0","329","238","12","1","311","328","235","12","0","1","342","213","6","0","1","0","9","378","189","1","9","336","216"
"Sabah","6.8831","116.8466","Kudat","2300","92554","40","83634","8920","47330","45224","94.1","87093","5.4","4998","0.1","93","0.4","370","28.6","26470","63.3","58587","8.1","7497","64.7","59882","57.9","45.1","12.8","105","23015","20235","4.5","710","621","240","159","90.2","83484","4.3","3980","5.5","5090","59.1","59100","53.7","53700","5.4","5400","22.8","22800","72.1","9.1","2346","3797","2505","0.439","47","1939","2722","1537","402","2163","559","24","11","0","1904","38","15","1","2668","977","839","6","0","117","1584","1008","8","0","122","0","40","1560","339","0","67","1954","701"
